1/7/21, 1:00 PM
Project Statistics

                 	Segments	  Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	  116607	1173671	                    5706378	                      6758341	    93	
Remaining:       	    4673	  72968	                    4217118	                      5011344	    91
Unique:          	   45309	 620896	                    2970164	                      3541655	    93	
Unique Remaining:	    4574	  95135	                    2359063	                      2815838	    91


Individual File Statistics:

File Name                                                    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
calc_guide64/CG64-CalcGuide-Master.odm                       	          1983	              1628	           1230	                     1014	       3875	           3185	        2995	                  2481	                            20788	                                17061	                             17116	                                       14209	                              22671	                                  18612	                               18872	                                         15670	
calc_guide64/CG64-CalcGuide.odt                              	         14616	             12654	          10501	                     9755	     140496	         132072	      129704	                123147	                           679084	                               635882	                            621102	                                      588524	                             803202	                                 753592	                              738402	                                        700060	
calc_guide64/CG6400-Preface.odt                              	           290	                94	             35	                       28	       2435	            892	         423	                   362	                            13299	                                 5132	                              2458	                                        2142	                              15381	                                   5895	                                2819	                                          2449	
calc_guide64/CG6401-IntroducingCalc.odt                      	          1026	               602	            192	                      175	       9514	           7600	        2902	                  2789	                            45852	                                36252	                             13697	                                       13116	                              54415	                                  43327	                               16438	                                         15762	
calc_guide64/CG6402-EnterEditFormatData.odt                  	          1357	               972	            434	                      420	      13242	          11422	        6638	                  6466	                            63889	                                55154	                             31814	                                       30989	                              75993	                                  65818	                               38185	                                         37201	
calc_guide64/CG6403-ChartsAndGraphs.odt                      	          2399	              2092	           1214	                     1204	      22750	          22164	       16794	                 16769	                           107455	                               104632	                             78588	                                       78470	                             127868	                                 124766	                               94237	                                         94104	
calc_guide64/CG6404-StylesAndTemplates.odt                   	           781	               562	            174	                      169	       7317	           6585	        2506	                  2467	                            36014	                                32202	                             12106	                                       11880	                              42645	                                  38321	                               14465	                                         14205	
calc_guide64/CG6405-UsingGraphicsInCalc.odt                  	           532	               325	            231	                      219	       4934	           4200	        3420	                  3336	                            24215	                                20471	                             16300	                                       15880	                              28667	                                  24399	                               19546	                                         19055	
calc_guide64/CG6406-PrintExportEmailSign.odt                 	           775	               521	            236	                      230	       8329	           6910	        3783	                  3700	                            40430	                                33276	                             17856	                                       17435	                              48065	                                  39752	                               21446	                                         20948	
calc_guide64/CG6407-FormulasAndFunctions.odt                 	          1134	               981	            216	                      214	      12618	          12313	        3609	                  3600	                            61554	                                59968	                             17380	                                       17318	                              72865	                                  71127	                               20748	                                         20679	
calc_guide64/CG6408-PivotTables.odt                          	           794	               668	            311	                      310	       8964	           8710	        5336	                  5334	                            42896	                                41606	                             25161	                                       25142	                              51084	                                  49666	                               30199	                                         30179	
calc_guide64/CG6409-DataAnalysis.odt                         	          1149	               995	            502	                      502	      10718	          10401	        7460	                  7460	                            53843	                                52332	                             36717	                                       36717	                              63431	                                  61760	                               43692	                                         43692	
calc_guide64/CG6410-LinkingCalcData.odt                      	           949	               763	            364	                      360	      10252	           9677	        5905	                  5829	                            49306	                                46392	                             28215	                                       27859	                              58620	                                  55317	                               33812	                                         33384	
calc_guide64/CG6411-SharingAndReviewing.odt                  	           399	               301	            140	                      140	       3195	           2933	        1825	                  1825	                            16270	                                14839	                              8845	                                        8845	                              19125	                                  17530	                               10578	                                         10578	
calc_guide64/CG6412-CalcMacros.odt                           	           698	               567	            180	                      177	       5314	           4824	        2593	                  2538	                            28811	                                26167	                             13137	                                       12817	                              33442	                                  30439	                               15555	                                         15183	
calc_guide64/CG6413-CalcAsASimpleDatabase.odt                	           969	               837	            324	                      324	       7422	           7146	        4873	                  4873	                            39778	                                38327	                             24058	                                       24058	                              46195	                                  44601	                               28598	                                         28598	
calc_guide64/CG6414-SettingUpCustomizing.odt                 	           849	               556	            316	                      274	       8740	           7068	        4804	                  4247	                            44362	                                35727	                             23794	                                       21026	                              52254	                                  42239	                               28297	                                         25014	
calc_guide64/CG6415-KeyboardShortcuts.odt                    	           966	               834	            197	                      195	       5611	           5370	        1400	                  1395	                            27823	                                26603	                              6735	                                        6705	                              32392	                                  31095	                                7802	                                          7769	
calc_guide64/CG6416-CalcErrorCodes.odt                       	           242	               202	             36	                       36	       1606	           1494	         600	                   600	                             8153	                                 7525	                              2913	                                        2913	                               9498	                                   8800	                                3475	                                          3475	
calc_guide64/LO6_CG_6.4_Cover_number.odg                     	            42	                 9	             36	                        7	        297	            118	         287	                   114	                             1670	                                  671	                              1617	                                         653	                               1925	                                    785	                                1868	                                           765	
calc_guide70/CG70-CalcGuide.odt                              	         15237	             13164	           3071	                     3059	     147428	         138302	       48002	                 47847	                           723375	                               677088	                            231712	                                      230944	                             855696	                                 802410	                              276540	                                        275630	
calc_guide70/CG7000-Preface.odt                              	           313	               133	             10	                       10	       2670	           1324	          48	                    48	                            14509	                                 7566	                               223	                                         223	                              16784	                                   8689	                                 260	                                           260	
calc_guide70/CG7001-Introduction.odt                         	          1130	               715	             37	                       37	      11523	           9745	         553	                   553	                            55681	                                46796	                              2529	                                        2529	                              66133	                                  55885	                                3037	                                          3037	
calc_guide70/CG7002-EnterEditFormatData.odt                  	          1434	              1057	             72	                       72	      14554	          12983	        1171	                  1171	                            70240	                                62709	                              5570	                                        5570	                              83525	                                  74797	                                6694	                                          6694	
calc_guide70/CG7003-ChartsAndGraphs.odt                      	          2406	              2107	            200	                      200	      23254	          22678	        2973	                  2973	                           109635	                               106837	                             13706	                                       13706	                             130489	                                 127414	                               16458	                                         16458	
calc_guide70/CG7004-StylesAndTemplates.odt                   	           827	               607	             38	                       38	       8008	           7287	         543	                   543	                            39374	                                35623	                              2676	                                        2676	                              46646	                                  42395	                                3181	                                          3181	
calc_guide70/CG7005-UsingGraphics.odt                        	           538	               332	             33	                       33	       5012	           4319	         467	                   467	                            24547	                                21008	                              2372	                                        2372	                              29059	                                  25036	                                2812	                                          2812	
calc_guide70/CG7006-PrintExportEmailSign.odt                 	           802	               545	             22	                       22	       8743	           7346	         360	                   360	                            42226	                                35238	                              1662	                                        1662	                              50214	                                  42092	                                2000	                                          2000	
calc_guide70/CG7007-FormulasAndFunctions.odt                 	          1208	              1044	             26	                       26	      13322	          12992	         334	                   334	                            65181	                                63465	                              1687	                                        1687	                              77130	                                  75248	                                2001	                                          2001	
calc_guide70/CG7008-PivotTables.odt                          	           809	               682	             12	                       12	       9268	           9012	         204	                   204	                            44211	                                42916	                               990	                                         990	                              52674	                                  51250	                                1180	                                          1180	
calc_guide70/CG7009-DataAnalysis.odt                         	          1185	              1025	             43	                       43	      11384	          11097	         704	                   704	                            56904	                                55585	                              3449	                                        3449	                              67097	                                  65651	                                4131	                                          4131	
calc_guide70/CG7010-LinkingCalcData.odt                      	           972	               783	             47	                       47	      10683	          10074	         684	                   684	                            51162	                                48108	                              3322	                                        3322	                              60857	                                  57383	                                3955	                                          3955	
calc_guide70/CG7011-SharingAndReviewing.odt                  	           409	               308	             11	                       11	       3368	           3101	         118	                   118	                            17042	                                15588	                               610	                                         610	                              20050	                                  18430	                                 717	                                           717	
calc_guide70/CG7012-CalcMacros.odt                           	           804	               656	             22	                       22	       6396	           5795	         364	                   364	                            34533	                                31414	                              1760	                                        1760	                              40075	                                  36503	                                2119	                                          2119	
calc_guide70/CG7013-CalcAsADatabase.odt                      	           986	               856	             23	                       23	       7752	           7477	         423	                   423	                            41308	                                39854	                              2061	                                        2061	                              48038	                                  46440	                                2470	                                          2470	
calc_guide70/CG7014-SettingUpCustomizing.odt                 	           853	               566	             28	                       28	       8746	           7226	         376	                   376	                            44232	                                36382	                              1820	                                        1820	                              52117	                                  43036	                                2169	                                          2169	
calc_guide70/CG7015-KeyboardShortcuts.odt                    	           977	               843	              9	                        9	       5790	           5546	         224	                   224	                            28381	                                27151	                              1038	                                        1038	                              33049	                                  31741	                                1240	                                          1240	
calc_guide70/CG7016-CalcErrorCodes.odt                       	           243	               204	              3	                        3	       1616	           1513	          44	                    44	                             8194	                                 7650	                               196	                                         196	                               9548	                                   8940	                                 235	                                           235	
calc_guide70/Readme.md                                       	             1	                 1	              1	                        1	          4	              4	           4	                     4	                               23	                                   23	                                23	                                          23	                                 26	                                     26	                                  26	                                            26	
contributor_resources/AssemblingMasterDocument.odt           	            46	                42	             45	                       42	        491	            459	         490	                   459	                             2535	                                 2328	                              2528	                                        2328	                               2963	                                   2731	                                2956	                                          2731	
contributor_resources/LibreOffice_7.x_Template.odt           	           327	               174	            225	                      154	       2808	           2097	        2457	                  1945	                            13495	                                 9804	                             11724	                                        9107	                              15915	                                  11691	                               13892	                                         10863	
contributor_resources/LibreOffice_7.x_Template.ott           	           327	               176	              2	                        2	       2808	           2110	          13	                    13	                            13495	                                 9887	                                83	                                          83	                              15915	                                  11785	                                  94	                                            94	
contributor_resources/LO_6.0_Chapter_Template.odt            	           336	               149	            168	                       97	       2715	           1780	        1986	                  1379	                            12930	                                 8173	                              9333	                                        6381	                              15261	                                   9783	                               11107	                                          7642	
contributor_resources/LO_6.0_Chapter_Template.ott            	           336	               153	              5	                        5	       2717	           1822	          49	                    49	                            12937	                                 8422	                               272	                                         272	                              15270	                                  10066	                                 312	                                           312	
contributor_resources/odtclean.py                            	             3	                 3	              3	                        3	         26	             26	          26	                    26	                              109	                                  109	                               109	                                         109	                                132	                                    132	                                 132	                                           132	
getting_started64/GS64-GettingStarted.odt                    	         11101	              5008	           8558	                     4460	     129019	          73101	      116601	                 69735	                           626273	                               348517	                            562204	                                      331999	                             743140	                                 415729	                              669292	                                        396426	
getting_started64/GS6400-Preface.odt                         	           263	                 0	              9	                        0	       2280	              0	          79	                     0	                            12343	                                    0	                               451	                                           0	                              14300	                                      0	                                 514	                                             0	
getting_started64/GS6401-IntroducingLibreOffice.odt          	           660	               219	             39	                       29	       7461	           3623	         453	                   392	                            37282	                                17692	                              2233	                                        1882	                              44045	                                  21078	                                2642	                                          2242	
getting_started64/GS6402-SettingUpLibreOffice.odt            	           751	               211	             47	                       45	       7625	           3169	         573	                   566	                            39748	                                16155	                              3012	                                        2972	                              46535	                                  19056	                                3533	                                          3488	
getting_started64/GS6403-StylesAndTemplates.odt              	           700	               217	             59	                       50	       6944	           3542	         759	                   692	                            33721	                                16668	                              3595	                                        3245	                              39875	                                  19920	                                4269	                                          3862	
getting_started64/GS6404-GettingStartedWithWriter.odt        	          1262	               456	             63	                       55	      13834	           7126	         704	                   671	                            68500	                                34456	                              3434	                                        3245	                              81040	                                  41099	                                4071	                                          3856	
